,Lat,Lon,City,Country,Description,Temp,Pressure,Humidity,Windspeed,Cloud Cover
51,22.89,-109.91,cabo san lucas,mx,clear sky,73.99,1016,64,8.05,5
52,-22.97,-42.03,arraial do cabo,br,broken clouds,78.8,1013,78,9.17,75
53,-33.7,-53.46,chuy,uy,overcast clouds,64.65,1011,66,9.71,100
54,-34.73,135.87,port lincoln,au,clear sky,80.26,1008,50,11.39,1
55,-34.42,19.23,hermanus,za,few clouds,55.99,1012,92,8.41,17
56,50.68,156.12,severo-kurilsk,ru,light snow,34.25,962,91,45.39,100
57,65.82,87.98,turukhansk,ru,light snow,4.05,1012,94,12.88,100
58,-42.78,147.06,new norfolk,au,clear sky,78.8,1015,39,12.75,0
59,22.08,-159.32,kapaa,us,broken clouds,82.4,1016,65,9.17,75
60,-31.43,152.92,port macquarie,au,overcast clouds,70.0,1016,96,1.99,100
61,-45.87,170.5,dunedin,nz,overcast clouds,60.01,1024,64,15.99,89
62,-10.45,161.92,kirakira,sb,broken clouds,86.0,1006,65,5.93,60
63,57.05,-135.33,sitka,us,broken clouds,44.6,999,45,25.28,75
64,-33.65,115.33,busselton,au,broken clouds,61.0,1018,76,9.53,61
65,-53.15,-70.92,punta arenas,cl,overcast clouds,44.6,987,75,6.93,100
66,-21.2,-175.2,vaini,to,moderate rain,84.2,1008,74,13.87,75
67,-0.6,73.08,hithadhoo,mv,scattered clouds,82.45,1008,76,17.0,34
68,-8.77,160.7,auki,sb,moderate rain,84.43,1007,74,4.99,90
69,64.9,45.76,leshukonskoye,ru,overcast clouds,14.95,1022,97,6.78,99
70,70.03,20.97,skjervoy,no,clear sky,33.15,1018,89,23.06,0
71,-17.34,-39.22,prado,br,clear sky,75.15,1016,84,7.25,1
72,68.75,161.3,cherskiy,ru,overcast clouds,-16.17,1021,89,5.03,100
73,26.91,70.92,jaisalmer,in,clear sky,50.74,1016,53,6.22,0
74,-46.6,168.33,bluff,nz,overcast clouds,59.0,1027,71,10.0,100
75,49.33,1.1,oissel,fr,overcast clouds,53.01,1003,93,18.34,90
76,-0.41,-65.02,santa isabel do rio negro,br,overcast clouds,77.76,1010,83,2.64,94
77,46.49,135.88,vostok,ru,overcast clouds,-11.78,1017,89,4.76,97
78,72.79,-56.15,upernavik,gl,light snow,24.15,1008,98,1.88,100
79,-28.77,114.6,geraldton,au,few clouds,69.8,1015,49,16.11,12
80,68.05,39.51,ostrovnoy,ru,overcast clouds,25.45,1019,97,2.93,92
81,-30.18,-50.21,cidreira,br,overcast clouds,70.92,1011,95,3.0,100
82,45.17,10.78,mantua,it,fog,34.0,1015,100,1.12,90
83,36.25,-121.25,monterey,us,overcast clouds,59.0,1021,1,5.99,100
84,62.53,155.8,omsukchan,ru,overcast clouds,-23.73,1023,82,5.14,100
85,-17.71,-39.25,caravelas,br,clear sky,74.07,1016,85,5.97,0
86,5.26,-0.76,mumford,gh,scattered clouds,79.97,1011,83,8.88,27
87,49.18,125.22,nenjiang,cn,clear sky,-16.11,1025,83,4.45,0
88,-0.91,122.88,biak,id,broken clouds,82.74,1009,68,0.6,82
89,-8.9,-35.15,sao jose da coroa grande,br,overcast clouds,78.24,1015,77,10.22,99
90,78.22,15.64,longyearbyen,sj,broken clouds,19.4,1019,79,1.12,75
91,-31.42,-64.5,villa carlos paz,ar,clear sky,68.0,1017,39,10.29,0
92,55.74,-97.86,thompson,ca,clear sky,-18.4,1021,75,5.82,5
93,-28.65,153.62,byron bay,au,light rain,69.8,1012,94,23.04,75
94,-21.15,55.28,saint-leu,re,overcast clouds,73.4,1013,88,13.87,90
95,-8.93,125.41,airai,id,overcast clouds,69.28,1008,96,1.14,99
96,38.52,-28.7,ribeira grande,pt,light rain,58.51,1018,64,20.69,62
97,-26.4,-52.47,clevelandia,br,light rain,64.13,1014,100,7.34,35
98,-33.01,17.94,saldanha,za,broken clouds,57.2,1012,76,1.12,64
99,77.48,-69.36,qaanaaq,gl,overcast clouds,23.99,1008,91,7.07,100
100,-13.85,136.42,alyangula,au,overcast clouds,80.6,1007,88,3.36,100
101,33.12,46.16,mehran,ir,clear sky,44.6,1023,70,6.93,0
102,32.78,-79.93,charleston,us,fog,60.01,1018,100,5.66,90
103,-3.8,102.27,bengkulu,id,overcast clouds,75.6,1010,83,4.0,100
104,-6.22,155.63,kieta,pg,broken clouds,86.41,1007,62,4.65,79
105,20.2,1.01,tessalit,ml,clear sky,64.78,1013,28,8.03,0
106,-5.67,132.75,tual,id,light rain,84.15,1008,75,11.39,100
107,60.38,92.63,teya,ru,overcast clouds,0.12,1022,90,4.47,100
108,-33.92,25.57,port elizabeth,za,clear sky,62.6,1008,100,0.96,1
109,64.75,20.95,skelleftea,se,light snow,32.0,1018,98,5.82,98
110,-24.79,-50.01,castro,br,scattered clouds,66.18,1013,95,5.99,32
111,-35.1,173.78,kaeo,nz,scattered clouds,69.35,1023,56,8.55,43
112,-15.2,12.15,namibe,ao,scattered clouds,65.44,1011,83,4.07,26
113,70.63,147.92,chokurdakh,ru,overcast clouds,-19.26,1027,88,6.15,100
114,-33.29,23.49,willowmore,za,clear sky,64.24,1009,66,3.8,0
115,25.52,90.22,tura,in,broken clouds,58.87,1012,73,2.55,83
116,66.0,111.5,aykhal,ru,clear sky,-25.6,1006,74,2.24,0
117,14.92,-23.51,praia,cv,few clouds,73.4,1015,69,11.41,20
118,14.11,121.14,santo tomas,ph,few clouds,84.2,1011,70,7.23,20
119,-13.14,28.42,luanshya,zm,overcast clouds,62.76,1013,95,3.76,100
120,26.18,127.76,nishihara,jp,overcast clouds,68.0,1019,68,8.05,90
121,28.37,129.48,naze,jp,broken clouds,68.0,1017,68,6.93,75
122,64.5,-165.41,nome,us,broken clouds,15.8,1004,56,17.22,75
123,17.88,-76.41,morant bay,jm,few clouds,80.6,1015,78,3.36,20
124,29.96,122.3,shenjiamen,cn,light rain,45.95,1029,79,22.59,100
125,-46.19,168.86,mataura,nz,overcast clouds,59.0,1027,71,10.0,97
126,6.12,81.12,hambantota,lk,few clouds,71.6,1009,100,3.36,20
127,66.15,-65.71,pangnirtung,ca,clear sky,-9.92,1022,70,5.35,0
128,26.92,71.92,pokaran,in,clear sky,52.7,1016,52,8.55,0
129,-15.43,49.73,maroantsetra,mg,light rain,75.04,1013,84,8.88,93
130,5.35,48.53,hobyo,so,clear sky,77.49,1011,77,19.24,8
131,32.35,-85.2,russell,us,overcast clouds,64.4,1015,93,6.67,90
132,5.41,100.34,georgetown,my,few clouds,78.8,1008,94,4.88,20
133,-15.77,128.73,kununurra,au,broken clouds,86.0,1008,74,11.41,75
134,67.86,20.23,kiruna,se,light snow,15.8,1017,100,2.26,90
135,-38.15,144.57,clifton springs,au,clear sky,86.0,1014,33,14.99,0
136,-21.64,-41.05,sao joao da barra,br,overcast clouds,75.92,1016,83,21.03,89
137,-20.41,57.7,mahebourg,mu,shower rain,75.2,1012,94,13.87,75
138,-38.0,-57.56,mar del plata,ar,clear sky,61.0,1011,66,3.36,0
139,-38.27,141.97,codrington,au,scattered clouds,76.59,1012,46,11.45,48
140,41.81,126.91,linjiang,cn,overcast clouds,4.51,1030,77,8.52,95
141,-21.34,55.48,saint-pierre,re,overcast clouds,73.4,1013,88,13.87,90
142,-17.73,-149.15,tautira,pf,light rain,86.0,1012,58,13.87,20
143,43.32,145.57,nemuro,jp,few clouds,24.8,1002,62,2.24,20
144,19.73,-155.09,hilo,us,moderate rain,77.0,1016,78,3.36,90
145,-33.59,26.89,port alfred,za,few clouds,64.99,1007,96,1.99,15
146,26.59,12.78,awbari,ly,clear sky,49.96,1018,48,6.78,0
147,44.37,-100.35,pierre,us,clear sky,17.6,1024,52,6.93,1
148,60.72,-46.03,qaqortoq,gl,broken clouds,26.6,1000,86,1.12,75
149,48.01,91.64,hovd,mn,broken clouds,-3.71,1040,83,1.43,51
150,64.92,77.78,tarko-sale,ru,light snow,15.01,1010,90,7.31,100
151,63.18,14.64,ostersund,se,overcast clouds,33.01,1012,96,10.29,100
152,11.67,92.75,port blair,in,broken clouds,76.71,1009,78,8.03,74
153,50.1,-91.92,sioux lookout,ca,light snow,15.8,1010,92,4.7,90
154,69.01,23.04,kautokeino,no,overcast clouds,16.88,1021,96,2.42,95
155,44.06,131.12,dongning,cn,clear sky,0.97,1023,80,10.16,1
156,-20.78,117.13,roebourne,au,clear sky,80.26,1008,56,8.41,1
157,29.03,21.55,jalu,ly,clear sky,56.34,1011,53,17.4,0
158,29.58,-9.5,tiznit,ma,clear sky,57.87,1017,79,1.25,0
159,-25.24,130.99,yulara,au,broken clouds,89.6,1009,49,10.29,74
160,-9.17,-36.22,santana do mundau,br,scattered clouds,77.0,1016,83,5.82,40
161,59.7,30.79,nikolskoye,ru,overcast clouds,26.01,1021,85,4.47,90
162,53.56,119.32,davenda,ru,clear sky,-19.64,1034,79,3.98,0
163,71.92,114.08,saskylakh,ru,overcast clouds,-23.91,1014,83,16.82,100
164,-6.98,-34.83,cabedelo,br,scattered clouds,77.0,1015,94,4.7,40
165,69.7,170.31,pevek,ru,overcast clouds,12.96,1021,89,8.66,100
166,40.16,-8.33,lata,pt,overcast clouds,59.0,1013,91,1.01,99
167,41.19,40.99,ardesen,tr,clear sky,59.0,1012,41,20.8,0
168,10.44,45.01,berbera,so,clear sky,75.04,1015,62,5.95,0
169,-21.21,-159.78,avarua,ck,scattered clouds,84.2,1012,74,8.05,50
170,54.52,36.76,ferzikovo,ru,overcast clouds,24.8,1024,79,11.18,100
171,16.86,-99.89,acapulco,mx,scattered clouds,82.4,1011,78,2.24,40
172,-9.8,-139.03,atuona,pf,clear sky,79.16,1011,73,13.11,0
173,13.22,80.32,kattivakkam,in,mist,75.2,1011,94,2.24,20
174,35.2,-79.47,pinehurst,us,clear sky,57.0,1017,81,3.36,1
175,65.99,57.53,usinsk,ru,light snow,26.92,1014,98,17.2,100
176,-20.34,57.76,bambous virieux,mu,shower rain,75.2,1012,94,13.87,75
177,-1.53,-49.22,muana,br,moderate rain,76.8,1012,87,5.73,58
178,63.28,118.33,nyurba,ru,overcast clouds,-26.5,1030,84,8.28,99
179,5.67,73.0,ugoofaaru,mv,broken clouds,82.33,1009,68,5.84,74
180,22.29,114.16,victoria,cn,overcast clouds,70.0,1018,80,1.99,88
181,20.52,-13.05,atar,mr,overcast clouds,65.8,1014,24,7.25,96
182,40.43,71.72,komsomolskiy,uz,mist,30.2,1028,80,6.93,90
183,-21.25,-63.5,villamontes,bo,heavy intensity rain,70.59,1010,91,6.44,83
184,7.9,4.32,ejigbo,ng,clear sky,72.39,1010,96,4.05,1
185,-8.01,-34.86,olinda,br,scattered clouds,78.8,1015,69,11.41,40
186,-20.01,57.66,grand gaube,mu,light rain,73.99,1012,85,18.34,34
187,55.93,158.7,esso,ru,overcast clouds,14.54,996,89,4.56,100
188,9.23,-80.09,palmas bellas,pa,broken clouds,81.0,1010,80,10.0,51
189,48.65,-53.11,bonavista,ca,snow,28.99,1022,100,4.7,100
190,21.28,-89.67,progreso,mx,few clouds,80.6,1014,69,10.47,20
191,40.13,63.45,gazli,uz,clear sky,15.85,1033,90,3.89,6
192,63.44,-20.27,vestmannaeyjar,is,overcast clouds,42.57,992,82,26.24,100
193,-6.12,141.29,kiunga,pg,moderate rain,81.28,1009,89,2.8,100
194,12.18,125.51,san policarpo,ph,overcast clouds,83.01,1010,77,11.01,96
195,1.55,110.33,kuching,my,few clouds,77.0,1010,94,2.24,20
196,62.23,-6.59,klaksvik,fo,light rain,44.6,987,87,31.09,100
197,41.14,24.88,xanthi,gr,overcast clouds,51.01,1004,76,11.99,99
198,54.43,113.6,bagdarin,ru,clear sky,-21.5,1038,76,2.77,0
199,22.57,59.53,sur,om,clear sky,70.38,1016,50,10.74,0
200,-46.28,169.85,kaitangata,nz,overcast clouds,60.89,1025,57,6.6,99
201,57.79,-152.41,kodiak,us,mist,42.8,986,93,20.8,90
202,20.87,-90.4,celestun,mx,clear sky,77.09,1013,82,10.42,6
203,13.93,41.69,edd,er,clear sky,75.33,1012,62,14.03,0
204,14.48,79.98,kovur,in,clear sky,68.41,1011,83,3.87,0
205,26.35,127.87,gushikawa,jp,overcast clouds,64.4,1018,82,6.93,90
206,-13.28,-50.16,sao miguel do araguaia,br,moderate rain,76.14,1012,83,2.15,65
207,-8.76,-35.1,tamandare,br,overcast clouds,78.35,1015,77,9.73,99
208,41.18,-96.03,la vista,us,broken clouds,24.8,1024,79,5.82,75
209,-5.3,36.57,kibaya,tz,scattered clouds,59.74,1012,100,2.75,26
210,-22.96,-44.04,mangaratiba,br,clear sky,78.8,1012,78,6.93,0
211,-0.61,-47.36,salinopolis,br,broken clouds,80.28,1012,80,9.17,66
212,-30.98,150.25,gunnedah,au,overcast clouds,73.4,1016,60,13.87,90
213,38.42,-121.42,laguna,us,mist,51.8,1020,87,10.29,90
214,7.0,-9.47,gbarnga,lr,scattered clouds,71.06,1012,97,1.5,42
215,51.23,-58.65,saint-augustin,ca,overcast clouds,20.57,1023,94,19.39,100
216,-2.67,141.3,vanimo,pg,light rain,79.34,1009,83,6.38,100
217,69.38,178.42,leningradskiy,ru,overcast clouds,16.74,1026,90,22.15,100
218,48.6,-93.4,fort frances,ca,light snow,23.0,1013,85,8.05,90
219,-35.17,173.17,ahipara,nz,scattered clouds,69.75,1023,56,3.6,40
220,-9.43,159.95,honiara,sb,shower rain,86.0,1007,74,5.82,40
221,41.37,-73.41,bethel,us,clear sky,48.0,1016,61,6.93,1
222,6.3,-10.8,monrovia,lr,few clouds,77.0,1011,94,5.19,20
223,-22.96,14.51,walvis bay,na,scattered clouds,62.01,1014,87,8.05,30
224,70.47,-68.59,clyde river,ca,overcast clouds,-5.8,1014,83,8.05,90
225,-33.87,121.9,esperance,au,overcast clouds,64.4,1015,59,17.22,90
226,61.67,96.37,baykit,ru,overcast clouds,-7.55,1020,87,1.74,100
227,-19.55,169.27,isangel,vu,broken clouds,89.6,1006,66,13.87,75
228,-33.99,-58.29,carmelo,uy,clear sky,71.6,1013,45,3.36,0
229,-1.94,-50.82,portel,br,broken clouds,76.23,1012,89,5.08,69
230,16.25,103.07,kosum phisai,th,few clouds,78.01,1012,83,6.93,20
231,47.67,-52.73,torbay,ca,snow,28.99,1019,100,18.34,90
232,25.02,37.27,umm lajj,sa,scattered clouds,74.66,1012,46,1.61,25
233,-20.21,57.76,quatre cocos,mu,shower rain,75.2,1012,94,13.87,75
234,-26.65,15.16,luderitz,na,clear sky,62.6,1010,72,12.75,0
235,28.02,-97.05,rockport,us,clear sky,72.0,1015,73,14.99,1
236,36.62,-121.92,pacific grove,us,overcast clouds,57.2,1022,93,5.82,90
237,-3.67,152.43,namatanai,pg,moderate rain,86.14,1007,68,5.06,89
238,63.83,20.26,umea,se,light snow,32.0,1018,96,6.93,90
239,18.74,7.39,arlit,ne,clear sky,71.78,1013,16,7.67,0
240,-6.22,149.55,kandrian,pg,light rain,79.23,1007,86,10.29,100
241,-22.28,166.46,noumea,nc,overcast clouds,84.2,1008,62,8.05,90
242,-6.41,-48.54,xambioa,br,scattered clouds,77.83,1011,76,2.48,36
243,1.31,35.2,chepareria,ke,scattered clouds,58.87,1013,66,3.87,30
244,-31.95,141.43,broken hill,au,broken clouds,86.0,1013,19,14.99,75
245,-20.73,139.5,mount isa,au,overcast clouds,89.6,1008,43,12.75,100
246,-25.05,-55.92,yhu,py,scattered clouds,69.55,1011,97,11.23,48
247,71.04,27.85,mehamn,no,broken clouds,28.44,1022,93,9.35,75
248,-2.53,112.95,sampit,id,moderate rain,78.53,1010,80,1.74,100
249,18.73,-103.68,coahuayana,mx,scattered clouds,75.2,1016,83,11.41,40
250,29.42,-98.49,san antonio,us,clear sky,62.6,1018,16,16.11,1
251,24.69,46.72,riyadh,sa,clear sky,48.2,1021,66,2.64,0
252,-3.0,33.08,misasi,tz,overcast clouds,66.61,1010,89,5.84,100
253,67.67,12.69,sorland,no,broken clouds,39.47,1012,73,11.45,65
254,15.24,105.23,phibun mangsahan,th,broken clouds,78.01,1011,94,4.7,83
255,13.22,-59.52,bathsheba,bb,scattered clouds,80.6,1014,83,10.29,40
256,40.75,-86.36,logansport,us,overcast clouds,36.0,1020,80,3.71,90
257,21.02,-102.17,san julian,mx,overcast clouds,65.08,1014,42,6.98,100
258,-34.05,23.37,plettenberg bay,za,clear sky,64.81,1010,89,7.78,1
259,-7.6,37.0,kidodi,tz,overcast clouds,71.37,1011,90,4.0,100
260,-28.78,32.04,richards bay,za,broken clouds,72.34,1012,89,6.73,54
261,43.05,-74.34,gloversville,us,overcast clouds,37.0,1018,74,9.17,90
262,-24.87,113.63,carnarvon,au,clear sky,73.4,1012,46,23.04,0
263,58.9,17.95,nynashamn,se,overcast clouds,36.0,1011,89,1.99,100
264,-8.74,24.99,kamina,cd,light rain,63.07,1013,100,2.8,100
265,43.74,135.29,olga,ru,clear sky,5.83,1017,75,15.41,0
266,53.81,10.37,bad oldesloe,de,overcast clouds,39.99,1011,98,1.99,99
267,56.95,90.67,novobirilyussy,ru,overcast clouds,7.09,1027,94,9.51,100
268,58.61,5.65,varhaug,no,broken clouds,44.6,1003,65,21.92,75
269,-9.11,124.89,atambua,id,light rain,81.18,1009,78,1.07,99
270,27.98,-114.06,guerrero negro,mx,clear sky,68.52,1019,25,17.72,0
271,11.0,122.67,dingle,ph,scattered clouds,80.02,1010,86,7.52,32
272,25.99,-80.23,miramar,us,clear sky,75.2,1019,73,4.7,1
273,54.1,47.34,chufarovo,ru,few clouds,6.24,1038,92,7.14,23
274,-33.03,137.58,whyalla,au,broken clouds,93.2,1009,23,24.16,51
275,36.62,-119.31,orange cove,us,mist,53.6,1023,100,8.05,75
276,-20.23,164.02,poum,nc,light rain,81.19,1007,81,26.06,59
277,66.32,-179.17,egvekinot,ru,overcast clouds,10.18,1015,92,16.08,100
278,50.1,136.51,elban,ru,overcast clouds,1.24,1011,85,5.64,99
279,52.8,28.0,lyuban,by,overcast clouds,30.76,1018,99,5.37,100
280,-5.2,-35.46,touros,br,few clouds,78.8,1014,83,6.93,20
281,-18.4,47.87,anjozorobe,mg,broken clouds,60.8,1018,87,9.17,75
282,41.28,-70.1,nantucket,us,mist,51.01,1014,93,10.29,20
283,-20.52,57.52,souillac,mu,shower rain,75.2,1012,94,13.87,75
284,69.22,-51.1,ilulissat,gl,light snow,24.8,1011,73,10.29,100
285,21.88,-79.84,condado,cu,scattered clouds,77.0,1016,73,2.24,36
286,55.3,-123.17,mackenzie,ca,light snow,12.2,1013,72,2.24,90
287,68.53,146.42,belaya gora,ru,overcast clouds,-22.25,1029,87,3.51,100
288,20.7,-105.2,ixtapa,mx,overcast clouds,75.2,1013,73,10.29,90
289,47.13,-119.28,moses lake,us,mist,33.8,1018,86,2.71,90
290,-16.16,33.59,tete,mz,scattered clouds,77.0,1012,83,4.7,40
291,51.95,-102.67,preeceville,ca,clear sky,-11.51,1033,87,9.13,0
292,23.12,113.25,canton,cn,overcast clouds,59.0,1020,82,13.42,90
293,-2.6,-43.46,humberto de campos,br,broken clouds,79.11,1011,79,5.55,58
294,59.7,150.17,arman,ru,scattered clouds,-8.46,1012,85,17.34,36
295,32.67,-17.1,ponta do sol,pt,few clouds,62.6,1017,82,4.7,20
296,29.13,15.95,hun,ly,clear sky,53.26,1016,49,11.18,0
297,-11.1,-77.61,hualmay,pe,broken clouds,67.53,1015,83,9.37,57
298,51.78,-114.1,olds,ca,overcast clouds,3.2,1028,100,12.75,89
299,-14.53,-40.37,pocoes,br,few clouds,63.19,1016,94,5.99,18
300,34.64,-120.46,lompoc,us,mist,57.0,1023,93,4.7,20
301,54.27,-110.73,bonnyville,ca,scattered clouds,-5.8,1025,70,2.86,40
302,51.87,32.6,kholmy,ua,overcast clouds,30.67,1020,98,9.46,100
303,-35.33,-72.42,constitucion,cl,few clouds,59.94,1018,56,16.73,11
304,-51.62,-69.22,rio gallegos,ar,shower rain,53.6,989,50,5.82,40
305,-8.84,13.23,luanda,ao,few clouds,73.4,1009,88,3.36,20
306,39.72,21.62,kastrakion,gr,overcast clouds,39.0,1005,95,1.99,100
307,60.4,-1.35,brae,gb,moderate rain,45.55,991,85,34.69,100
308,34.8,-106.54,meadow lake,us,few clouds,35.6,1027,34,3.36,20
309,50.72,136.63,solnechnyy,ru,overcast clouds,3.54,1011,89,4.97,100
310,-31.73,-55.98,tacuarembo,uy,overcast clouds,64.44,1013,81,12.28,100
311,41.14,-73.36,westport,us,clear sky,51.8,1015,53,6.93,1
312,19.1,78.35,nirmal,in,broken clouds,68.97,1012,63,3.98,84
313,-9.17,-60.63,aripuana,br,overcast clouds,80.11,1010,67,0.74,99
314,13.52,35.77,doka,sd,clear sky,71.22,1008,30,11.03,3
315,-46.13,167.68,tuatapere,nz,broken clouds,59.0,1027,71,10.0,62
316,38.42,77.24,shache,cn,overcast clouds,24.22,1030,98,5.88,91
317,5.97,80.42,weligama,lk,overcast clouds,73.76,1009,90,3.96,99
318,47.26,132.03,fujin,cn,clear sky,-3.8,1018,74,16.33,0
319,54.77,-101.86,flin flon,ca,clear sky,-9.4,1024,76,5.82,5
320,64.25,-15.21,hofn,is,overcast clouds,39.67,998,81,32.41,100
321,-9.66,120.26,waingapu,id,light rain,82.6,1009,70,3.29,100
322,-15.89,-52.26,barra do garcas,br,scattered clouds,76.55,1013,68,0.58,49
323,39.03,46.72,mincivan,az,overcast clouds,38.01,1023,77,0.96,97
324,69.49,88.4,talnakh,ru,haze,-16.6,1005,75,4.47,20
325,36.1,0.42,sidi ali,dz,overcast clouds,58.33,1015,72,7.58,100
326,39.95,-75.16,filadelfia,us,few clouds,48.99,1018,57,6.93,20
327,42.73,133.08,vrangel,ru,clear sky,8.87,1021,81,17.27,0
328,-27.58,153.3,victoria point,au,moderate rain,72.0,998,92,23.0,100
329,-13.2,49.05,ambilobe,mg,scattered clouds,74.19,1011,86,2.3,35
330,70.02,135.6,ust-kuyga,ru,scattered clouds,-42.03,1033,77,5.5,38
331,-19.9,48.8,mahanoro,mg,light rain,72.37,1016,84,5.19,37
332,-37.83,140.77,mount gambier,au,broken clouds,87.8,1011,22,18.34,75
333,-32.72,152.15,nelson bay,au,shower rain,73.0,1019,88,11.41,90
334,8.13,-5.1,katiola,ci,clear sky,75.2,1014,94,6.93,0
335,-2.68,111.62,pangkalanbuun,id,overcast clouds,79.63,1010,77,1.79,100
336,-6.13,12.37,soyo,ao,scattered clouds,76.87,1010,80,6.33,38
337,-22.47,-68.93,calama,cl,clear sky,66.2,1025,24,18.34,0
338,40.28,97.2,yumen,cn,broken clouds,8.91,1035,86,0.65,63
339,49.96,82.61,oskemen,kz,broken clouds,8.6,1035,65,4.47,75
340,-19.98,57.61,cap malheureux,mu,light rain,73.99,1012,85,17.72,30
341,51.15,-100.05,dauphin,ca,clear sky,1.4,1024,82,16.11,1
342,-0.72,8.78,port-gentil,ga,scattered clouds,80.6,1011,88,8.05,40
343,29.56,34.95,elat,il,clear sky,68.0,1010,60,4.7,0
344,-23.13,150.73,yeppoon,au,overcast clouds,77.0,1006,61,11.41,90
345,53.2,-105.77,prince albert,ca,few clouds,-9.4,1028,76,5.82,20
346,32.69,128.84,fukue,jp,broken clouds,41.0,1022,60,17.22,75
347,8.12,-63.55,ciudad bolivar,ve,overcast clouds,80.47,1013,68,9.82,100
348,-0.95,100.35,padang,id,overcast clouds,77.72,1010,69,3.36,100
349,-7.95,110.28,bambanglipuro,id,overcast clouds,76.42,1010,87,4.76,100
350,-20.22,-70.14,iquique,cl,scattered clouds,68.0,1013,72,13.87,40
351,47.36,36.65,kuybysheve,ua,overcast clouds,36.52,1017,91,20.54,96
